"Date: 2024-05-18+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"","Repeating","Brush teeth [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-28T12:30:00+0000","2023-09-28T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:39+0000","2024-05-18T06:11:14+0000","8246337208320","America/Chicago","false","false",,,"list","62",""
"","Repeating","Brush teeth [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-29T12:30:00+0000","2023-09-29T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:39+0000","2024-05-18T06:11:15+0000","8796093022208","America/Chicago","false","false",,,"list","63",""
"","Repeating","Brush teeth [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-10-09T12:30:00+0000","2023-10-09T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:39+0000","2024-05-18T06:11:15+0000","9345848836096","America/Chicago","false","false",,,"list","64",""
"","Repeating","Brush teeth [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-10-16T12:30:00+0000","2023-10-16T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:39+0000","2024-05-18T06:11:15+0000","9895604649984","America/Chicago","false","false",,,"list","65",""
"","Repeating","Brush teeth [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-11-17T06:00:00+0000","2023-11-17T06:00:00+0000","","","0","2","2023-09-28T02:52:39+0000","2024-05-18T06:11:16+0000","10445360463872","America/Chicago","true","false",,,"list","66",""
"","Repeating","Deodorant [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-28T12:30:00+0000","2023-09-28T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:43+0000","2024-05-18T06:11:16+0000","10995116277760","America/Chicago","false","false",,,"list","67",""
"","Repeating","Deodorant [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-10-09T12:30:00+0000","2023-10-09T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:43+0000","2024-05-18T06:11:16+0000","11544872091648","America/Chicago","false","false",,,"list","68",""
"","Repeating","Deodorant [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","0","2023-09-28T02:52:43+0000","","12094627905536","America/Chicago","false","false",,,"list","69",""
"","Repeating","Cologne [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-28T12:30:00+0000","2023-09-28T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:48+0000","2024-05-18T06:11:17+0000","12644383719424","America/Chicago","false","false",,,"list","70",""
"","Repeating","Cologne [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-10-09T12:30:00+0000","2023-10-09T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:48+0000","2024-05-18T06:11:17+0000","13194139533312","America/Chicago","false","false",,,"list","71",""
"","Repeating","Cologne [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","0","2023-09-28T02:52:48+0000","","13743895347200","America/Chicago","false","false",,,"list","72",""
"","Repeating","Tidy for roomba [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-28T12:30:00+0000","2023-09-28T12:30:00+0000","PT0S","","0","2","2023-09-28T02:54:37+0000","2024-05-18T06:11:17+0000","14293651161088","America/Chicago","false","false",,,"list","73",""
"","Repeating","Tidy for roomba [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-29T12:30:00+0000","2023-09-29T12:30:00+0000","PT0S","","0","2","2023-09-28T02:54:37+0000","2024-05-18T06:11:18+0000","14843406974976","America/Chicago","false","false",,,"list","74",""
"","Repeating","Tidy for roomba [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","0","2023-09-28T02:54:37+0000","","15393162788864","America/Chicago","false","false",,,"list","75",""
"","Repeating","Make bed [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-28T12:30:00+0000","2023-09-28T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:32+0000","2024-05-18T06:11:18+0000","15942918602752","America/Chicago","false","false",,,"list","76",""
"","Repeating","Make bed [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-10-09T12:30:00+0000","2023-10-09T12:30:00+0000","PT0S","","0","2","2023-09-28T02:52:32+0000","2024-05-18T06:11:18+0000","16492674416640","America/Chicago","false","false",,,"list","77",""
"","Repeating","Make bed [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","0","2023-09-28T02:52:32+0000","","17042430230528","America/Chicago","false","false",,,"list","78",""
"","Repeating","Deposit % check into savings [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-28T05:00:00+0000","2023-09-28T05:00:00+0000","","","0","2","2023-09-28T02:43:56+0000","2024-05-18T06:11:19+0000","17592186044416","America/Chicago","true","false",,,"list","79",""
"","Repeating","Deposit % check into savings [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-10-05T05:00:00+0000","2023-10-05T05:00:00+0000","","","0","2","2023-09-28T02:43:56+0000","2024-05-18T06:11:19+0000","18141941858304","America/Chicago","true","false",,,"list","80",""
"","Repeating","Floss [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-29T04:00:00+0000","2023-09-29T04:00:00+0000","PT0S","","0","2","2023-09-28T03:06:11+0000","2024-05-18T06:11:19+0000","18691697672192","America/Chicago","false","false",,,"list","81",""
"","Repeating","Floss [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-10-10T04:00:00+0000","2023-10-10T04:00:00+0000","PT0S","","0","2","2023-09-28T03:06:11+0000","2024-05-18T06:11:20+0000","19241453486080","America/Chicago","false","false",,,"list","82",""
"","Repeating","Floss [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-10-14T04:00:00+0000","2023-10-14T04:00:00+0000","PT0S","","0","2","2023-09-28T03:06:11+0000","2024-05-18T06:11:20+0000","19791209299968","America/Chicago","false","false",,,"list","83",""
"","Repeating","Floss [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","0","2023-09-28T03:06:11+0000","","20340965113856","America/Chicago","false","false",,,"list","84",""
"","Repeating","Brush teeth [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-29T04:00:00+0000","2023-09-29T04:00:00+0000","PT0S","","0","2","2023-09-28T03:06:20+0000","2024-05-18T06:11:21+0000","20890720927744","America/Chicago","false","false",,,"list","85",""
"","Repeating","Brush teeth [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-30T04:00:00+0000","2023-09-30T04:00:00+0000","PT0S","","0","2","2023-09-28T03:06:20+0000","2024-05-18T06:11:21+0000","21440476741632","America/Chicago","false","false",,,"list","86",""
"","Repeating","Brush teeth [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-10-14T04:00:00+0000","2023-10-14T04:00:00+0000","PT0S","","0","2","2023-09-28T03:06:20+0000","2024-05-18T06:11:21+0000","21990232555520","America/Chicago","false","false",,,"list","87",""
"","Repeating","Brush teeth [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","0","2023-09-28T03:06:20+0000","","22539988369408","America/Chicago","false","false",,,"list","88",""
